scenario,step,adoption_share,adopter_count,adoption_gap,early_access_adoption,mainstream_adoption,high_barrier_adoption,seed_count
baseline_diffusion,0,0.05,6,0.05,0.05,0.025,0.075,6
baseline_diffusion,1,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,2,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,3,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,4,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,5,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,6,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,7,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,8,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,9,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,10,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,11,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,12,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,13,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,14,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,15,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,16,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,17,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,18,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,19,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,20,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,21,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,22,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,23,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,24,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,25,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,26,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,27,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,28,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,29,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,30,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,31,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,32,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,33,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,34,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,35,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,36,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,37,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,38,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,39,0.058333,7,0.05,0.075,0.025,0.075,6
baseline_diffusion,40,0.058333,7,0.05,0.075,0.025,0.075,6
high_social_influence,0,0.05,6,0.05,0.05,0.025,0.075,6
high_social_influence,1,0.066667,8,0.075,0.1,0.025,0.075,6
high_social_influence,2,0.083333,10,0.075,0.125,0.05,0.075,6
high_social_influence,3,0.091667,11,0.1,0.15,0.05,0.075,6
high_social_influence,4,0.1,12,0.125,0.175,0.05,0.075,6
high_social_influence,5,0.125,15,0.2,0.25,0.05,0.075,6
high_social_influence,6,0.15,18,0.275,0.325,0.05,0.075,6
high_social_influence,7,0.183333,22,0.375,0.425,0.05,0.075,6
high_social_influence,8,0.216667,26,0.425,0.5,0.075,0.075,6
high_social_influence,9,0.233333,28,0.475,0.55,0.075,0.075,6
high_social_influence,10,0.241667,29,0.5,0.575,0.075,0.075,6
high_social_influence,11,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,12,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,13,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,14,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,15,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,16,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,17,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,18,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,19,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,20,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,21,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,22,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,23,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,24,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,25,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,26,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,27,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,28,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,29,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,30,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,31,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,32,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,33,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,34,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,35,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,36,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,37,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,38,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,39,0.25,30,0.525,0.6,0.075,0.075,6
high_social_influence,40,0.25,30,0.525,0.6,0.075,0.075,6
high_cost_barrier,0,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,1,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,2,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,3,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,4,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,5,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,6,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,7,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,8,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,9,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,10,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,11,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,12,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,13,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,14,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,15,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,16,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,17,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,18,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,19,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,20,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,21,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,22,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,23,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,24,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,25,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,26,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,27,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,28,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,29,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,30,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,31,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,32,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,33,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,34,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,35,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,36,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,37,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,38,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,39,0.05,6,0.05,0.05,0.025,0.075,6
high_cost_barrier,40,0.05,6,0.05,0.05,0.025,0.075,6
targeted_seeding,0,0.05,6,0.05,0.05,0.075,0.025,6
targeted_seeding,1,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,2,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,3,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,4,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,5,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,6,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,7,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,8,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,9,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,10,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,11,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,12,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,13,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,14,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,15,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,16,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,17,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,18,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,19,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,20,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,21,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,22,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,23,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,24,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,25,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,26,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,27,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,28,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,29,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,30,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,31,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,32,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,33,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,34,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,35,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,36,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,37,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,38,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,39,0.066667,8,0.075,0.1,0.075,0.025,6
targeted_seeding,40,0.066667,8,0.075,0.1,0.075,0.025,6
network_fragmentation,0,0.05,6,0.05,0.05,0.025,0.075,6
network_fragmentation,1,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,2,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,3,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,4,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,5,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,6,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,7,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,8,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,9,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,10,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,11,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,12,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,13,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,14,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,15,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,16,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,17,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,18,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,19,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,20,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,21,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,22,0.066667,8,0.075,0.1,0.025,0.075,6
network_fragmentation,23,0.066667,8,0.075,0.1,0.025,0.075,6
