run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
1,0.082555,0.078915,63.794444,14,72.114717,71.028466,0.076562,-11.825823,15.000000,69.898993,67.722646,124,1.487932,0.481739,0
2,0.064429,0.033275,66.889258,10,72.174751,85.072208,0.022249,-13.853796,15.000000,70.450093,70.346398,87,1.162530,0.118486,0
3,0.100754,0.081801,67.561442,7,80.023637,93.626676,0.025804,-4.590908,15.000000,75.390915,74.203381,45,2.015493,0.640461,0
4,0.099537,0.062229,66.045329,12,82.950362,84.482661,0.090521,-15.168932,15.000000,78.772017,76.222561,47,2.063158,0.791969,0
5,0.098111,0.064507,68.799594,6,67.480630,92.563724,0.062096,-8.733002,15.000000,67.472413,67.472413,160,1.655147,0.000000,0
6,0.114011,0.074656,49.987853,10,89.031451,70.425022,0.038989,-11.448791,15.000000,76.293313,71.296386,33,2.536931,1.963868,110
7,0.100734,0.062013,66.238578,14,89.232888,76.590556,0.086271,-7.504786,15.000000,81.811391,78.667745,43,2.247028,0.965711,116
8,0.089401,0.038891,54.842349,5,100.021246,65.968267,0.094838,-8.287428,15.000000,75.245588,75.206191,44,2.235202,0.793512,133
9,0.108544,0.069616,63.764052,5,74.366089,88.041205,0.053954,-5.424121,15.000000,70.333781,70.072323,43,2.017945,0.457355,0
10,0.108653,0.041059,60.295121,3,75.226382,78.783448,0.095424,-11.323938,15.000000,70.955444,70.955444,160,2.043400,0.437696,0
11,0.096518,0.027286,62.152538,12,97.247964,79.931162,0.063758,-15.968623,15.000000,86.793346,85.531400,45,2.346538,0.672339,116
12,0.075566,0.056047,68.975684,3,97.861345,66.879344,0.078073,-9.033388,15.000000,77.002688,77.002688,160,1.848750,0.449893,127
13,0.067411,0.031298,62.489364,14,87.582262,73.515837,0.023884,-4.351018,15.000000,79.206263,77.821856,64,1.475814,0.523201,112
14,0.074853,0.024774,49.599489,13,92.932916,71.748900,0.061334,-5.331150,15.000000,78.025559,76.904469,52,1.738819,0.704227,121
15,0.070263,0.049342,51.093437,11,92.982546,93.509432,0.083549,-5.238188,15.000000,76.037857,73.195671,52,1.633211,1.230811,0
