run_id,growth_rate,carrying_capacity,balancing_strength,target,delay,shock_size,final_exponential,final_logistic,final_delayed_feedback,maximum_delayed_feedback,time_to_peak,maximum_outflow
1,0.072168,62.119176,0.061035,52.576022,15,-10.808917,250.000000,62.116854,250.000000,250.000000,47,12.049770
2,0.076874,90.455415,0.061502,47.525075,7,-10.186114,250.000000,90.453008,250.000000,250.000000,49,12.452681
3,0.089801,103.331808,0.087160,54.375795,6,-13.465979,250.000000,103.331458,250.000000,250.000000,42,17.050539
4,0.097361,88.009699,0.029583,69.340789,7,-15.748094,250.000000,88.009633,250.000000,250.000000,35,5.344390
5,0.104480,98.922191,0.087091,45.145825,4,-6.872093,250.000000,98.922167,250.000000,250.000000,39,17.840901
6,0.086614,62.060814,0.035852,66.853548,12,-11.921091,250.000000,62.060620,250.000000,250.000000,39,6.566083
7,0.078197,95.514891,0.028481,49.332557,7,-5.586757,250.000000,95.512727,250.000000,250.000000,45,5.715161
8,0.089388,94.076876,0.064144,50.502717,7,-10.443268,250.000000,94.076571,250.000000,250.000000,40,12.796563
9,0.073167,66.010840,0.074710,55.477158,9,-7.228514,250.000000,66.008594,250.000000,250.000000,50,14.532744
10,0.092453,63.965729,0.072556,45.748124,12,-15.641920,250.000000,63.965653,250.000000,250.000000,37,14.819730
11,0.093004,75.195187,0.056329,58.892854,16,-12.623055,250.000000,75.195088,250.000000,250.000000,37,10.764877
12,0.098348,87.895534,0.083873,62.001995,16,-12.230448,250.000000,87.895479,250.000000,250.000000,35,15.768022
13,0.110034,102.151681,0.033779,65.346253,11,-14.982695,250.000000,102.151671,250.000000,250.000000,31,6.237426
14,0.090216,102.531325,0.032919,50.631065,16,-10.815596,250.000000,102.531006,250.000000,250.000000,38,6.562928
15,0.108036,91.943940,0.082858,50.078945,10,-12.647567,250.000000,91.943929,250.000000,250.000000,32,16.565019
16,0.088046,92.013093,0.028293,53.741462,7,-6.802889,250.000000,92.012727,250.000000,250.000000,39,5.552679
17,0.066459,78.867970,0.041166,63.737553,7,-10.468012,250.000000,78.857528,250.000000,250.000000,53,7.667638
18,0.108158,70.747886,0.083194,63.784921,2,-14.743920,250.000000,70.747880,250.000000,250.000000,36,15.491995
19,0.099181,64.768277,0.053342,66.911710,14,-5.932220,250.000000,64.768253,250.000000,250.000000,35,9.766205
20,0.077010,68.032790,0.031985,69.115915,3,-12.825427,250.000000,68.031543,250.000000,250.000000,46,5.785531
21,0.081569,84.682902,0.042262,61.277250,4,-5.013995,250.000000,84.681972,250.000000,250.000000,44,7.975766
22,0.112442,77.602851,0.068144,48.456028,15,-12.909503,250.000000,77.602847,250.000000,250.000000,31,13.734010
23,0.114602,80.559871,0.037173,68.800918,10,-9.306160,250.000000,80.559868,250.000000,250.000000,30,6.735681
24,0.081966,69.851549,0.051576,62.034054,15,-9.179398,250.000000,69.850983,250.000000,250.000000,41,9.694596
25,0.094048,82.558065,0.091280,59.833851,4,-10.878983,250.000000,82.557963,250.000000,250.000000,42,17.358374
26,0.061327,101.647972,0.040502,56.432609,8,-7.878654,250.000000,101.604739,250.000000,250.000000,58,7.839822
27,0.082038,58.485489,0.049842,58.731769,10,-11.697996,250.000000,58.485116,250.000000,250.000000,42,9.533125
28,0.087460,100.582757,0.048437,50.382367,4,-14.589264,250.000000,100.582264,250.000000,250.000000,42,9.668800
29,0.103532,68.760107,0.079983,65.702853,5,-9.943943,250.000000,68.760095,250.000000,250.000000,35,14.740549
