time,power,communications,water,transport,composite_service,unmet_service,shock_active
0,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
1,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
2,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
3,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
4,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
5,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
6,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
7,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
8,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
9,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
10,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
11,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
12,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
13,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
14,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
15,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
16,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
17,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
18,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
19,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
20,  0.965000,  0.974800,  0.974450,  0.983200,  0.974363,  0.025637,1
21,  0.930000,  0.942544,  0.942026,  0.957076,  0.942911,  0.057089,1
22,  0.895000,  0.908312,  0.907733,  0.926262,  0.909327,  0.090673,1
23,  0.860000,  0.873527,  0.872929,  0.893200,  0.874914,  0.125086,1
24,  0.825000,  0.838588,  0.837983,  0.859087,  0.840164,  0.159836,1
25,  0.790000,  0.803605,  0.802998,  0.824490,  0.805273,  0.194727,1
26,  0.755000,  0.768609,  0.768002,  0.789673,  0.770321,  0.229679,1
27,  0.720000,  0.733611,  0.733003,  0.754755,  0.735342,  0.264658,1
