"time","reinforcing","balancing","logistic","delayed_balancing","stock_flow","target"
1,2,2,2,5,40,20
2,2.24,4.7,2.2208,9.2,42.8,20
3,2.5088,6.995,2.463622627328,13.4,45.18,20
4,2.809856,8.94575,2.73012404764792,17.6,47.203,20
5,3.14703872,10.6038875,3.02196176225106,21.8,48.92255,20
6,3.5246833664,12.013304375,3.34076235983715,26,50.3841675,20
7,3.947645370368,13.21130871875,3.68808251592206,29.024,51.626542375,20
8,4.42136281481216,14.2296124109375,4.06536304514031,30.872,52.68256101875,20
9,4.95192635258962,15.0951705492969,4.47387616245094,31.544,53.5801768659375,20
10,5.54615751490038,15.8308949669023,4.91466657594371,31.04,54.3431503360469,20
11,6.21169641668842,16.456260721867,5.38848761680401,29.36,54.9916777856398,20
12,6.95709998669104,16.9878216135869,5.89573429659753,26.83328,55.5429261177939,20
13,7.79195198509396,17.4396483715489,6.43637593428806,23.78912,56.0114872001248,20
14,8.72698622330524,17.8237011158166,7.00989175759871,20.5568,56.4097641201061,20
15,9.77422457010187,18.1501459484441,7.61521357273496,17.4656,56.7482995020901,20
16,10.9471315185141,18.4276240561775,8.25068010822299,14.8448,57.0360545767766,20
17,12.2607873007358,18.6634804477508,8.91400785441827,12.9314816,57.2806463902601,20
18,13.7320817768241,18.8639583805882,9.60228302401103,11.870528,57.4885494317211,20
19,15.379931590043,19.0343646235,10.3119785583809,11.714624,57.6652670169629,20
20,17.2255233808481,19.179209929975,11.0389988568018,12.424256,57.8154769644185,20
21,19.2925861865499,19.3023284404787,11.7787531399678,13.867712,57.9431554197557,20
22,21.6076965289359,19.4069791744069,12.5262561942089,15.846897152,58.0516821067924,20
23,24.2006201124082,19.4959322982459,13.2762528851477,18.123149312,58.1439297907735,20
24,27.1046945258972,19.571542453509,14.0233605561476,20.443054592,58.2223403221575,20
25,30.3572578690049,19.6358110854827,14.7622215447042,22.564262912,58.2889892738339,20
26,34.0001288132854,19.6904394226603,15.4876568423811,24.281303552,58.3456408827588,20
27,38.0801442708797,19.7368735092612,16.1948115940235,25.44417234944,58.393794750345,20
28,42.6497615833853,19.776342482872,16.8792837569899,25.96969054208,58.4347255377932,20
29,47.7677329733915,19.8098911104412,17.5372287511136,25.84563525632,58.4695167071242,20
30,53.4998609301985,19.838407443875,18.1654351183566,25.12764164096,58.4990892010556,20
31,59.9198442418223,19.8626463272938,18.7613687739711,23.9288766464,58.5242258208973,20
32,67.110225550841,19.8832493781997,19.3231860271375,22.4045083885568,58.5455919477627,20
33,75.1634526169419,19.9007619714698,19.8497178628451,20.7329950367744,58.5637531555983,20
34,84.183066930975,19.9156476757493,20.3404297700607,19.0962171650048,58.5791901822585,20
35,94.285034962692,19.9283005243869,20.7953625429602,17.660477505536,58.5923116549197,20
36,105.599239158215,19.9390554457289,21.2150599523083,16.560392044544,58.6034649066818,20
37,118.271147857201,19.9481971288695,21.6004890564412,15.8871296957481,58.6129451706795,20
38,132.463685600065,19.9559675595391,21.9529583313224,15.6818910854513,58.6210033950776,20
39,148.359327872073,19.9625724256082,22.2740379094966,15.9349502792499,58.627852885816,20
40,166.162447216722,19.968186561767,22.5654851876264,16.5900165776998,58.6336749529436,20
41,186.101940882728,19.972958577502,22.8291780257273,17.5531068052275,58.638623710002,20
42,208.434173788656,19.9770147908767,23.0670568160289,18.7047104904181,58.6428301535017,20
43,233.446274643294,19.9804625722452,23.2810759052136,19.9137809864917,58.6464056304765,20
44,261.45982760049,19.9833931864084,23.4731642363785,21.0519949083017,58.649444785905,20
45,292.835006912548,19.9858842084471,23.6451946362575,22.0067902665458,58.6520280680192,20
46,327.975207742054,19.9880015771801,23.7989608915532,22.6919203610821,58.6542238578164,20
47,367.332232671101,19.989801340603,23.9361616088547,23.054601423765,58.6560902791439,20
48,411.412100591633,19.9913311395126,24.0583898056043,23.0787427475473,58.6576767372723,20
49,460.781552662629,19.9926314685857,24.1671272060925,22.7841841732228,58.6590252266815,20
50,516.075338982144,19.9937367482978,24.2637422913254,22.22228289859,58.6601714426792,20
51,578.004379660002,19.9946762360532,24.3494912543811,21.4685451974871,58.6611457262774,20
52,647.364905219202,19.9954748006452,24.4255211280404,20.6132567988329,58.6619738673358,20
53,725.048693845506,19.9961535805484,24.4928744679988,19.7512088295196,58.6626777872354,20
54,812.054537106967,19.9967305434662,24.5524950855739,18.9716372610172,58.6632761191501,20
55,909.501081559803,19.9972209619462,24.6052344241926,18.349398049412,58.6637847012776,20
56,1018.64121134698,19.9976378176543,24.6518582619622,17.9382053941156,58.6642169960859,20
57,1140.87815670862,19.9979921450062,24.6930534977119,17.7664934904424,58.664584446673,20
58,1277.78353551365,19.9982933232552,24.7294348404412,17.8361550181769,58.6648967796721,20
59,1431.11755977529,19.9985493247669,24.7615512731615,18.1240965850921,58.6651622627213,20
60,1602.85166694832,19.9987669260519,24.7898922029645,18.5862651312568,58.6653879233131,20
61,1795.19386698212,19.9989518871441,24.8148932412342,19.1635676209044,58.6655797348161,20
62,2010.61713101998,19.9991091040725,24.8369415826278,19.7889494435805,58.6657427745937,20
63,2251.89118674238,19.9992427384616,24.8563809700846,20.394826038491,58.6658813584046,20
64,2522.11812915146,19.9993563276924,24.8735162468308,20.9200789946652,58.665999154644,20
65,2824.77230464964,19.9994528785385,24.88861750614,21.3159247579133,58.6660992814474,20
66,3163.74498120759,19.9995349467577,24.9019238563155,21.5501258240601,58.6661843892303,20
67,3543.39437895251,19.9996047047441,24.9136468226938,21.6092199798575,58.6662567308457,20
68,3968.60170442681,19.9996639990325,24.9239734109887,21.49866868908,58.6663182212189,20
69,4444.83390895802,19.9997143991776,24.9330688574673,21.2410465705738,58.666370488036,20
70,4978.21397803299,19.999757239301,24.9410790916376,20.8725876383581,58.6664149148306,20
71,5575.59965539695,19.9997936534058,24.9481329366086,20.4385524076213,58.666452677606,20
72,6244.67161404458,19.9998246053949,24.9543440712927,19.9879708132612,58.6664847759651,20
73,6994.03220772993,19.9998509145857,24.9598127773112,19.5683435803187,58.6665120595704,20
74,7833.31607265752,19.9998732773978,24.9646274919721,19.2208505405581,58.6665352506348,20
75,8773.31400137643,19.9998922857882,24.9688661871067,18.9765260018178,58.6665549630396,20
76,9826.1116815416,19.9999084429199,24.9725975919452,18.8537313276839,58.6665717185836,20
77,11005.2450833266,19.999922176482,24.9758822766303,18.8570994999708,58.6665859607961,20
78,12325.8744933258,19.9999338500097,24.9787736114447,18.9779632974815,58.6665980666767,20
79,13804.9794325249,19.9999437725082,24.9813186153854,19.1961251461252,58.6666083566752,20
80,15461.5769644279,19.999952206632,24.9835587063673,19.4826978656162,58.6666171031739,20
