scenario,time,capacity,workload,pressure,slack,learning,coordination_burden,burnout,attrition,trust,delivery,backlog
baseline_organization,0,100.0,95.0,0.95,0.05,0.1085,0.0,0.098,0.343,0.61929,95.0,0.0
baseline_organization,1,100.4155,95.45,0.95055,0.04945,0.107628,0.0,0.096022,0.337473,0.618439,95.45,0.0
baseline_organization,2,100.835654,95.9,0.951052,0.048948,0.106834,0.0,0.094064,0.331976,0.617902,95.9,0.0
baseline_organization,3,101.260513,96.35,0.951506,0.048494,0.106198,0.0,0.092124,0.3265,0.621436,96.35,0.0
baseline_organization,4,101.690211,96.8,0.951911,0.048089,0.106363,0.0,0.090201,0.321039,0.620828,96.8,0.0
baseline_organization,5,102.125535,97.25,0.952259,0.047741,0.10594,0.0,0.088291,0.315587,0.613377,97.25,0.0
baseline_organization,6,102.565889,97.7,0.952558,0.047442,0.104462,0.0,0.086394,0.310136,0.615081,97.7,0.0
baseline_organization,7,103.010214,98.15,0.952818,0.047182,0.10463,0.0,0.084506,0.304675,0.613794,98.15,0.0
baseline_organization,8,103.460169,98.6,0.953024,0.046976,0.10441,0.0,0.082627,0.299202,0.612766,98.6,0.0
baseline_organization,9,103.915378,99.05,0.953179,0.046821,0.104347,0.0,0.080754,0.293707,0.61341,99.05,0.0
baseline_organization,10,104.376018,99.5,0.953284,0.046716,0.104685,0.0,0.078886,0.288182,0.614644,99.5,0.0
baseline_organization,11,104.84252,99.95,0.953335,0.046665,0.105251,0.0,0.077019,0.282621,0.620543,99.95,0.0
baseline_organization,12,105.31515,100.4,0.953329,0.046671,0.106752,0.0,0.075152,0.277014,0.623917,100.4,0.0
baseline_organization,13,105.794889,100.85,0.95326,0.04674,0.107982,0.0,0.073283,0.271353,0.624571,100.85,0.0
baseline_organization,14,106.281518,101.3,0.953129,0.046871,0.108896,0.0,0.071408,0.265627,0.620991,101.3,0.0
baseline_organization,15,106.774788,101.75,0.95294,0.04706,0.109212,0.0,0.069525,0.259825,0.616041,101.75,0.0
