scenario,time,fast_cycle,slow_memory,release_event,phase,cross_scale_coupling
baseline_panarchy,1,0.500000,1.000000,0,reorganization,0.500000
baseline_panarchy,2,0.522710,1.006000,0,reorganization,0.525846
baseline_panarchy,3,0.547620,1.011940,0,reorganization,0.554159
baseline_panarchy,4,0.574914,1.017821,0,reorganization,0.585159
baseline_panarchy,5,0.604775,1.023642,0,reorganization,0.619074
baseline_panarchy,6,0.637390,1.029406,0,reorganization,0.656133
baseline_panarchy,7,0.672935,1.035112,0,reorganization,0.696563
baseline_panarchy,8,0.711580,1.040761,0,reorganization,0.740585
baseline_panarchy,9,0.753477,1.046353,0,reorganization,0.788403
baseline_panarchy,10,0.798755,1.051890,0,reorganization,0.840202
baseline_panarchy,11,0.847512,1.057371,0,growth,0.896135
baseline_panarchy,12,0.899809,1.062797,0,growth,0.956314
baseline_panarchy,13,0.955657,1.068169,0,growth,1.020804
baseline_panarchy,14,1.015017,1.073487,0,growth,1.089608
baseline_panarchy,15,1.077784,1.078753,0,growth,1.162662
baseline_panarchy,16,1.143787,1.083965,0,growth,1.239825
baseline_panarchy,17,1.212783,1.089125,0,growth,1.320872
baseline_panarchy,18,1.284454,1.094234,0,growth,1.405493
baseline_panarchy,19,1.358412,1.099292,0,growth,1.493291
baseline_panarchy,20,1.434201,1.104299,0,growth,1.583786
baseline_panarchy,21,1.511307,1.109256,0,growth,1.676426
baseline_panarchy,22,1.589169,1.114163,0,growth,1.770593
baseline_panarchy,23,1.667195,1.119022,0,growth,1.865628
baseline_panarchy,24,1.744782,1.123831,0,growth,1.960841
baseline_panarchy,25,1.821328,1.128593,0,growth,2.055538
baseline_panarchy,26,1.896257,1.133307,0,growth,2.149042
baseline_panarchy,27,1.969033,1.137974,0,growth,2.240709
baseline_panarchy,28,2.039177,1.142594,0,conservation,2.329952
baseline_panarchy,29,2.106276,1.147168,0,conservation,2.416254
baseline_panarchy,30,2.169996,1.151697,0,conservation,2.499178
baseline_panarchy,31,2.230082,1.156180,0,conservation,2.578376
baseline_panarchy,32,2.286359,1.160618,0,conservation,2.653590
baseline_panarchy,33,2.338731,1.165012,0,conservation,2.724649
baseline_panarchy,34,2.387171,1.169362,0,conservation,2.791467
baseline_panarchy,35,2.431719,1.173668,0,conservation,2.854031
baseline_panarchy,36,2.472465,1.177931,0,conservation,2.912394
baseline_panarchy,37,2.509546,1.182152,0,conservation,2.966665
baseline_panarchy,38,1.197886,1.322152,1,release,1.583787
baseline_panarchy,39,1.258401,1.324931,0,growth,1.667294
baseline_panarchy,40,1.321041,1.327681,0,growth,1.753922
baseline_panarchy,41,1.385500,1.330404,0,growth,1.843275
baseline_panarchy,42,1.451426,1.333100,0,growth,1.934896
baseline_panarchy,43,1.518426,1.335769,0,growth,2.028267
baseline_panarchy,44,1.586076,1.338412,0,growth,2.122823
baseline_panarchy,45,1.653929,1.341028,0,growth,2.217965
baseline_panarchy,46,1.721528,1.343617,0,growth,2.313075
baseline_panarchy,47,1.788417,1.346181,0,growth,2.407533
baseline_panarchy,48,1.854152,1.348719,0,growth,2.500731
baseline_panarchy,49,1.918318,1.351232,0,growth,2.592093
baseline_panarchy,50,1.980534,1.353720,0,growth,2.681088
baseline_panarchy,51,2.040462,1.356183,0,conservation,2.767239
baseline_panarchy,52,2.097819,1.358621,0,conservation,2.850140
baseline_panarchy,53,2.152374,1.361035,0,conservation,2.929456
baseline_panarchy,54,2.203955,1.363424,0,conservation,3.004926
baseline_panarchy,55,2.252446,1.365790,0,conservation,3.076368
baseline_panarchy,56,2.297783,1.368132,0,conservation,3.143671
baseline_panarchy,57,2.339953,1.370451,0,conservation,3.206791
baseline_panarchy,58,2.378987,1.372746,0,conservation,3.265745
baseline_panarchy,59,2.414952,1.375019,0,conservation,3.320604
baseline_panarchy,60,2.447947,1.377269,0,conservation,3.371481
baseline_panarchy,61,2.478097,1.379496,0,conservation,3.418525
baseline_panarchy,62,2.505545,1.381701,0,conservation,3.461913
baseline_panarchy,63,2.530444,1.383884,0,conservation,3.501841
baseline_panarchy,64,1.207783,1.523884,1,release,1.840521
baseline_panarchy,65,1.259543,1.524645,0,growth,1.920356
baseline_panarchy,66,1.313165,1.525399,0,growth,2.003100
baseline_panarchy,67,1.368434,1.526145,0,growth,2.088429
baseline_panarchy,68,1.425102,1.526883,0,growth,2.175965
baseline_panarchy,69,1.482889,1.527614,0,growth,2.265282
baseline_panarchy,70,1.541486,1.528338,0,growth,2.355912
baseline_panarchy,71,1.600564,1.529055,0,growth,2.447351
