time,backlog,resource,infrastructure_condition,backlog_net_flow,resource_net_flow,condition_net_flow
1,   79.600000,  586.800000,   71.164000,   -0.400000,  -13.200000,   -0.836000
2,   79.232000,  573.710959,   70.317968,   -0.368000,  -13.089041,   -0.846032
3,   78.893440,  560.716460,   69.461784,   -0.338560,  -12.994499,   -0.856184
4,   78.581965,  547.800568,   68.595325,   -0.311475,  -12.915892,   -0.866459
5,   78.295408,  534.947748,   67.718469,   -0.286557,  -12.852820,   -0.876856
6,   78.031775,  522.142788,   66.831091,   -0.263633,  -12.804961,   -0.887378
7,   77.789233,  509.370724,   65.933064,   -0.242542,  -12.772064,   -0.898027
8,   77.566094,  496.616773,   65.024260,   -0.223139,  -12.753951,   -0.908803
9,   77.360807,  483.866258,   64.104552,   -0.205288,  -12.750515,   -0.919709
10,   77.171942,  471.104544,   63.173806,   -0.188865,  -12.761713,   -0.930745
11,   76.998187,  458.316971,   62.231892,   -0.173755,  -12.787573,   -0.941914
12,   76.838332,  445.488785,   61.278675,   -0.159855,  -12.828186,   -0.953217
13,   76.691265,  432.605069,   60.314019,   -0.147067,  -12.883716,   -0.964656
14,   76.555964,  419.650675,   59.337787,   -0.135301,  -12.954393,   -0.976232
15,   76.431487,  406.610155,   58.349840,   -0.124477,  -13.040521,   -0.987947
16,   76.316968,  393.467680,   57.350038,   -0.114519,  -13.142475,   -0.999802
17,   76.211611,  380.206969,   56.338239,   -0.105357,  -13.260711,   -1.011800
18,   76.114682,  366.811202,   55.314298,   -0.096929,  -13.395767,   -1.023941
19,   76.025507,  353.262936,   54.278069,   -0.089175,  -13.548267,   -1.036228
20,   75.943467,  339.544006,   53.229406,   -0.082041,  -13.718929,   -1.048663
21,   75.867989,  325.635431,   52.168159,   -0.075477,  -13.908576,   -1.061247
22,   75.798550,  311.517295,   51.094177,   -0.069439,  -14.118135,   -1.073982
23,   75.734666,  297.168638,   50.007307,   -0.063884,  -14.348658,   -1.086870
24,   75.675893,  282.567312,   48.907395,   -0.058773,  -14.601325,   -1.099912
25,   75.621821,  267.689848,   47.794283,   -0.054071,  -14.877464,   -1.113111
26,   75.572076,  252.511288,   46.667815,   -0.049746,  -15.178560,   -1.126469
27,   75.526310,  237.005008,   45.527829,   -0.045766,  -15.506280,   -1.139986
28,   75.484205,  221.142522,   44.374163,   -0.042105,  -15.862486,   -1.153666
29,   75.445468,  204.893255,   43.206652,   -0.038736,  -16.249267,   -1.167510
30,   75.409831,  188.224295,   42.025132,   -0.035637,  -16.668960,   -1.181520
31,   75.377045,  171.100111,   40.829434,   -0.032786,  -17.124184,   -1.195698
32,   75.346881,  153.482230,   39.619387,   -0.030164,  -17.617881,   -1.210047
33,   75.319130,  135.328874,   38.394820,   -0.027750,  -18.153355,   -1.224567
34,   75.293600,  116.594548,   37.155558,   -0.025530,  -18.734326,   -1.239262
35,   75.270112,   97.229560,   35.901424,   -0.023488,  -19.364988,   -1.254133
36,   75.248503,   77.179479,   34.632241,   -0.021609,  -20.050081,   -1.269183
37,   75.228623,   56.384505,   33.347828,   -0.019880,  -20.794974,   -1.284413
38,   75.210333,   34.778743,   32.048002,   -0.018290,  -21.605762,   -1.299826
39,   75.193506,   12.289356,   30.732578,   -0.016827,  -22.489387,   -1.315424
40,   75.178026,    0.000000,   29.401369,   -0.015481,  -23.453775,   -1.331209
41,   75.163784,    0.000000,   28.054186,   -0.014242,  -24.000000,   -1.347184
42,   75.150681,    0.000000,   26.690836,   -0.013103,  -24.000000,   -1.363350
43,   75.138627,    0.000000,   25.311126,   -0.012054,  -24.000000,   -1.379710
44,   75.127536,    0.000000,   23.914859,   -0.011090,  -24.000000,   -1.396266
45,   75.117334,    0.000000,   22.501838,   -0.010203,  -24.000000,   -1.413022
46,   75.107947,    0.000000,   21.071860,   -0.009387,  -24.000000,   -1.429978
47,   75.099311,    0.000000,   19.624722,   -0.008636,  -24.000000,   -1.447138
48,   75.091366,    0.000000,   18.160219,   -0.007945,  -24.000000,   -1.464503
49,   75.084057,    0.000000,   16.678141,   -0.007309,  -24.000000,   -1.482077
50,   75.077332,    0.000000,   15.178279,   -0.006725,  -24.000000,   -1.499862
51,   75.071146,    0.000000,   13.660418,   -0.006187,  -24.000000,   -1.517861
52,   75.065454,    0.000000,   12.124343,   -0.005692,  -24.000000,   -1.536075
53,   75.060218,    0.000000,   10.569836,   -0.005236,  -24.000000,   -1.554508
54,   75.055400,    0.000000,    8.996674,   -0.004817,  -24.000000,   -1.573162
55,   75.050968,    0.000000,    7.404634,   -0.004432,  -24.000000,   -1.592040
56,   75.046891,    0.000000,    5.793489,   -0.004077,  -24.000000,   -1.611144
57,   75.043140,    0.000000,    4.163011,   -0.003751,  -24.000000,   -1.630478
58,   75.039688,    0.000000,    2.512967,   -0.003451,  -24.000000,   -1.650044
59,   75.036513,    0.000000,    0.843123,   -0.003175,  -24.000000,   -1.669844
60,   75.033592,    0.000000,    0.000000,   -0.002921,  -24.000000,   -1.689883
61,   75.030905,    0.000000,    0.000000,   -0.002687,  -24.000000,   -1.700000
62,   75.028433,    0.000000,    0.000000,   -0.002472,  -24.000000,   -1.700000
63,   75.026158,    0.000000,    0.000000,   -0.002275,  -24.000000,   -1.700000
64,   75.024065,    0.000000,    0.000000,   -0.002093,  -24.000000,   -1.700000
65,   75.022140,    0.000000,    0.000000,   -0.001925,  -24.000000,   -1.700000
66,   75.020369,    0.000000,    0.000000,   -0.001771,  -24.000000,   -1.700000
67,   75.018739,    0.000000,    0.000000,   -0.001630,  -24.000000,   -1.700000
68,   75.017240,    0.000000,    0.000000,   -0.001499,  -24.000000,   -1.700000
69,   75.015861,    0.000000,    0.000000,   -0.001379,  -24.000000,   -1.700000
70,   70.014592,    0.000000,    0.200000,   -5.001269,  -12.000000,    0.200000
71,   65.413425,    0.000000,    0.402400,   -4.601167,  -12.000000,    0.202400
72,   61.180351,    0.000000,    0.607229,   -4.233074,  -12.000000,    0.204829
73,   57.285923,    0.000000,    0.814516,   -3.894428,  -12.000000,    0.207287
74,   53.703049,    0.000000,    1.024290,   -3.582874,  -12.000000,    0.209774
75,   50.406805,    0.000000,    1.236581,   -3.296244,  -12.000000,    0.212291
76,   47.374261,    0.000000,    1.451420,   -3.032544,  -12.000000,    0.214839
77,   44.584320,    0.000000,    1.668837,   -2.789941,  -12.000000,    0.217417
78,   42.017574,    0.000000,    1.888863,   -2.566746,  -12.000000,    0.220026
79,   39.656168,    0.000000,    2.111530,   -2.361406,  -12.000000,    0.222666
80,   37.483675,    0.000000,    2.336868,   -2.172493,  -12.000000,    0.225338
81,   35.484981,    0.000000,    2.564910,   -1.998694,  -12.000000,    0.228042
82,   33.646182,    0.000000,    2.795689,   -1.838798,  -12.000000,    0.230779
83,   31.954488,    0.000000,    3.029238,   -1.691695,  -12.000000,    0.233548
84,   30.398129,    0.000000,    3.265588,   -1.556359,  -12.000000,    0.236351
85,   28.966278,    0.000000,    3.504776,   -1.431850,  -12.000000,    0.239187
86,   27.648976,    0.000000,    3.746833,   -1.317302,  -12.000000,    0.242057
87,   26.437058,    0.000000,    3.991795,   -1.211918,  -12.000000,    0.244962
88,   25.322093,    0.000000,    4.239696,   -1.114965,  -12.000000,    0.247902
89,   24.296326,    0.000000,    4.490573,   -1.025767,  -12.000000,    0.250876
90,   23.352620,    0.000000,    4.744460,   -0.943706,  -12.000000,    0.253887
91,   22.484410,    0.000000,    5.001393,   -0.868210,  -12.000000,    0.256934
92,   21.685657,    0.000000,    5.261410,   -0.798753,  -12.000000,    0.260017
93,   20.950805,    0.000000,    5.524547,   -0.734853,  -12.000000,    0.263137
94,   20.274740,    0.000000,    5.790841,   -0.676064,  -12.000000,    0.266295
95,   19.652761,    0.000000,    6.060331,   -0.621979,  -12.000000,    0.269490
96,   19.080540,    0.000000,    6.333055,   -0.572221,  -12.000000,    0.272724
97,   18.554097,    0.000000,    6.609052,   -0.526443,  -12.000000,    0.275997
98,   18.069769,    0.000000,    6.888361,   -0.484328,  -12.000000,    0.279309
99,   17.624188,    0.000000,    7.171021,   -0.445582,  -12.000000,    0.282660
100,   17.214253,    0.000000,    7.457073,   -0.409935,  -12.000000,    0.286052
101,   16.837113,    0.000000,    7.746558,   -0.377140,  -12.000000,    0.289485
102,   16.490144,    0.000000,    8.039517,   -0.346969,  -12.000000,    0.292959
103,   16.170932,    0.000000,    8.335991,   -0.319211,  -12.000000,    0.296474
104,   15.877257,    0.000000,    8.636023,   -0.293675,  -12.000000,    0.300032
105,   15.607077,    0.000000,    8.939655,   -0.270181,  -12.000000,    0.303632
106,   15.358511,    0.000000,    9.246931,   -0.248566,  -12.000000,    0.307276
107,   15.129830,    0.000000,    9.557894,   -0.228681,  -12.000000,    0.310963
108,   14.919443,    0.000000,    9.872589,   -0.210386,  -12.000000,    0.314695
109,   14.725888,    0.000000,   10.191060,   -0.193555,  -12.000000,    0.318471
