parameter,direction,base_value,revised_value,base_peak_stock,revised_peak_stock,peak_change,absolute_peak_change
capacity,-1,100.0,90.0,84.480218,79.240474,-5.239744,5.239744
capacity,1,100.0,110.0,84.480218,88.726916,4.246698,4.246698
target,-1,62.0,57.0,84.480218,82.490749,-1.989469,1.989469
target,1,62.0,67.0,84.480218,86.270618,1.7904,1.7904
delay,1,7,9,84.480218,85.716572,1.236354,1.236354
growth_rate,-1,0.09,0.08,84.480218,83.310275,-1.169943,1.169943
threshold,-1,82.0,77.0,84.480218,83.336739,-1.143479,1.143479
growth_rate,1,0.09,0.09999999999999999,84.480218,85.518931,1.038713,1.038713
balancing_strength,-1,0.055,0.045,84.480218,85.483666,1.003448,1.003448
delay,-1,7,5,84.480218,83.588425,-0.891793,0.891793
balancing_strength,1,0.055,0.065,84.480218,83.655436,-0.824782,0.824782
threshold,1,82.0,87.0,84.480218,84.932513,0.452295,0.452295
threshold_correction,-1,0.04,0.03,84.480218,84.571229,0.091011,0.091011
threshold_correction,1,0.04,0.05,84.480218,84.392606,-0.087612,0.087612
shock_size,-1,-10.0,0.0,84.480218,84.480218,0.0,0.0
shock_size,1,-10.0,0.0,84.480218,84.480218,0.0,0.0
