growth_a,growth_b,coupling_ab,coupling_ba,balancing_b,target_b,shock_size,noise_sd,run_id
0.025795,0.037689,0.013964,0.050812,0.032351,62.586269,-16.449968,0.405879,5001
0.057654,0.032803,0.020581,0.045844,0.034842,54.682615,-13.223291,0.548857,5002
0.060164,0.022407,0.018812,0.05438,0.018489,48.301749,-16.782171,0.544735,5003
0.045398,0.023585,0.018941,0.048969,0.027925,62.387696,-12.732515,0.239148,5004
0.035958,0.025167,0.021975,0.053984,0.037875,48.425113,-7.059374,0.262601,5005
0.048505,0.043135,0.016452,0.026333,0.01646,56.276914,-12.887398,0.512685,5006
0.031958,0.047071,0.016025,0.028095,0.025379,48.823012,-11.51007,0.270599,5007
0.036117,0.032547,0.025358,0.045501,0.032082,64.287723,-10.643461,0.290754,5008
0.041478,0.021083,0.020732,0.051354,0.0379,61.772472,-10.165493,0.399091,5009
0.046131,0.039049,0.010076,0.054929,0.037103,54.070795,-13.981742,0.168186,5010
0.05623,0.037697,0.023891,0.046737,0.037101,52.74108,-15.384644,0.237845,5011
0.043327,0.022557,0.017858,0.042966,0.020409,57.562304,-16.333016,0.173806,5012
0.053184,0.025807,0.027474,0.044761,0.018837,59.433706,-16.404825,0.292403,5013
0.027841,0.04687,0.019101,0.050141,0.015948,49.503982,-14.133242,0.19918,5014
0.048755,0.025506,0.011362,0.054272,0.021937,54.666703,-8.746824,0.559817,5015
0.037845,0.023025,0.027564,0.050156,0.03474,53.464772,-6.564977,0.548558,5016
0.05566,0.032776,0.024853,0.048765,0.015626,59.136324,-8.251507,0.413703,5017
0.02863,0.044042,0.010092,0.05303,0.030936,54.328353,-15.269602,0.415723,5018
0.035368,0.029063,0.026864,0.052005,0.028007,55.605655,-8.644746,0.330536,5019
0.047851,0.025949,0.029777,0.045813,0.0299,49.732916,-16.783017,0.221897,5020
0.031866,0.043794,0.027971,0.048983,0.02501,48.59869,-11.055139,0.16839,5021
0.059698,0.022192,0.014481,0.046837,0.02664,60.907076,-11.873242,0.482546,5022
0.029979,0.042319,0.010694,0.049015,0.018287,63.573683,-9.547055,0.162167,5023
0.059163,0.020396,0.026381,0.040227,0.015998,50.782413,-9.206813,0.158458,5024
0.0473,0.025987,0.012151,0.030388,0.035915,63.71827,-15.442785,0.576767,5025
0.054288,0.037003,0.012781,0.05212,0.03925,60.748466,-10.73407,0.286412,5026
0.046816,0.035624,0.020676,0.047746,0.032449,58.051895,-9.392572,0.528257,5027
0.02795,0.022776,0.020447,0.025389,0.029969,51.608754,-10.92727,0.300509,5028
0.043066,0.02075,0.010309,0.048646,0.031562,64.700875,-8.480861,0.285069,5029
0.039189,0.028211,0.010618,0.042036,0.029869,60.213792,-14.016647,0.573875,5030
0.060373,0.032195,0.020996,0.045303,0.030666,61.789584,-16.675647,0.413147,5031
